SMILES,TotalEnergy
Cn1cc(S(=O)(=O)NCC(=O)N(C[C@@H]2CCCO2)[C@H]2CCS(=O)(=O)C2)cn1,-107.5839
COC=1C=CC=C(C1)N2CCN(CC2)C(=O)CCC3CC4=CC=CC=C4NC3=O,-103.3694
CC(=O)NCCC(=O)N1CC[C@]2(C1)CN(C(=O)[C@H]1CCCS1(=O)=O)CCO2,-109.0912
CC=1C=C(F)C(Br)=CC1NS(=O)(=O)C=2C=CC=C(Cl)C2O,-105.61
CN1N=C(C(=O)NC2=CN=C3CCCCC3=C2)C=4CCCCC41,-116.5076
CCN(CC)CC(=O)NC=1C=CC=C(C1)NC(=O)C=2C=CC3=NNC(=O)N3C2,-129.249
CC1CC1C(=O)NC2=NC=3C=CC=CC3N2C=4C=CN(C)N4,-119.3199
O=C(CN(CCO)CCO)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)CCc1cnccn1)C2,-130.4451
CC(C)OC=1C=CC=CC1C2=NC(=NO2)C=3C=NC=CN3,-106.063
CN1CCC2(CC1)CCN(CC2CO)C3=NC=NN4C=C(Br)C=C34,-114.084
CN1CCN(C2(C(=O)N3CCCC34CN(C(=O)CN(CCO)CCO)C4)CC2)CC1,-111.4318
CCNC(=S)NCC(=O)N1CCOC[C@@]2(C1)CN(C(=O)c1nc[nH]n1)CCO2,-114.5921
CC=1N=C(O)C=2C=C(C=CC2N1)NC(=O)NCC3(CO)CN(C3)C(=O)OC(C)(C)C,-141.0124
CC(C)N1C(=O)C(=O)N(CC(=O)N2CCN([C@@H]3CCS(=O)(=O)C3)CC2)C1=O,-102.1626
N=C1NCCN1CC(=O)N1CCOC[C@@]2(C1)CN(C(=O)[C@@H]1CCCOC1)CCO2,-114.0303
O=C1C=2C=CC=CC2C(=NN1CC=3C=CC=CC3)C4=NC(CN5C=NC=N5)=NO4,-150.476
COCCNC(=O)CN1CCN(C(=O)C(=O)Nc2cccc3c2oc(=O)n3C)CC1,-137.6602
O=C1NC(=NC=2SC=3CSCCC3C12)C=4C=CON4,-107.4672
O=C(N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)c1nn[nH]c1C(F)(F)F)C2)[C@@H]1C[C@H](O)CN1,-126.6444
CO[C@H]1CS(=O)(=O)C[C@H]1NC(=O)CCC(=O)N1CCN(c2ncccn2)CC1,-127.7537
O=C(CS(=O)(=O)N1CCCC1)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)C1CC(O)C1)C2,-109.6891
O=C1CC[C@@H](C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)Cn4ccncc4=O)C[C@@H]32)CN1,-112.119
CCNS(=O)(=O)C1CCN(C1)C(=O)C2=CN=C(S2)C=3N=CC=CN3,-106.4897
Cc1cc(NC(=O)CN2CCN(C(=O)C(=O)NC[C@@H](C)S(C)(=O)=O)CC2)no1,-120.1055
CN(C)C(=O)C1(CNC(=O)C2=COC=3C=CC(F)=CC23)CCCC1,-105.5513
C[C@H](C(=O)N[C@H]1CCS(=O)(=O)C1)N1CCN(C(=O)C(=O)N2CCOCC2)CC1,-117.3229
Cn1cccc1C(=O)C(=O)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)CN(CCO)CCO)C2,-119.7516
O=C(NC=1C=NN(C1)C=2C=CC=CC2)NC(C3=NN=CN3)C=4C=CC=CC4,-129.8466
C1=CC(CNC2CCOCC32CCCCC3)=C(N=C1)N4CCOCC4,-117.176
C[C@H]1CN(S(=O)(=O)N2CCN(C(=O)C(=O)NCC[S@](C)=O)CC2)C[C@@H](C)O1,-118.1498
O=C(CN(CCO)CCO)N1CCO[C@@]2(COCCN(C(=O)[C@H]3C[C@@H](O)C3)C2)C1,-131.4971
COC(=O)[C@@H]1CNC(=O)CN1C(=O)CCc1c(C)nc2c(C(N)=O)cnn2c1C,-125.4109
COC(=O)C=1C=CC(=CC1Br)C2=NC=3N=CC=CC3N2C,-105.1925
C=CC(=O)N[C@H](C)C(=O)N1CCO[C@]2(COCCN(C(=O)[C@@H]3CCC(=O)N3)C2)C1,-123.7724
NC[C@H](N)C(=O)Nc1nc2c(s1)C[C@H](NC(=O)c1cc(=O)n3[nH]cnc3n1)CC2,-131.1874
CCC1(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)CN(C)C(=O)C(=O)O)[C@H]3C2)COC1,-112.795
Cc1c(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)CN(CCO)CCO)[C@H]3C2)cnn1C,-130.6316
O=C(c1ccc2nncn2c1)N1CC2(CCCN2C(=O)c2cc(=O)n3[nH]nnc3n2)C1,-132.3993
O=C(O)C#CC(=O)Nc1nc2c(s1)C[C@H](NC(=O)[C@@H](O)N1CCOCC1)CC2,-124.3258
CS(=O)(=O)NC(=O)CCNC(=O)CCN1CCN(C(=O)[C@H]2CCCO2)CC1,-120.1495
CCC(OC=1C=CC=CC1C)C(=O)N2CCC(C2)C=3N=CC=CN3,-107.8575
CN(C)C1(CNC(=O)C(=O)NCCN2CCN(S(C)(=O)=O)CC2)CCCC1,-104.7184
CCN1N=NC=C1C(=O)NC=2C=CC(=CC2)C3=NC=C4CCCCN34,-128.1346
O=C1CC(C(=O)N2CCO[C@]3(COCCN(C(=O)CSc4nc[nH]n4)C3)C2)=NN1,-142.148
COC1=C(C)C=NC(CN(C)C(=O)NC2CCCOC2CC(C)C)=C1C,-114.4477
O=C(NCCS(=O)(=O)N1CCOCC1)N[C@@H]1CCN(CCN2CCOCC2)C1,-130.2955
CNS(=O)(=O)[C@H]1CCN(C(=O)[C@H](CC(N)=O)NC(=O)Cc2cccc(F)c2)C1,-129.9151
COC[C@H](NC(C)=O)C(=O)N1CC[C@H]2CO[C@@H](CNC(=O)CS(C)(=O)=O)[C@H]2C1,-119.857
Cc1cc(CC(=O)N2C[C@@H]3COC[C@H](C2)[C@@H]3NC(=O)C[C@H]2NC(=O)NC2=O)no1,-149.1044
CC1(C)CC(=O)NC=2C=CC(=CC21)S(=O)(=O)NC=3C=CC=C4OCCC34,-102.7656
O=C(O)CC1COCCN1S(=O)(=O)C2=CC=C3C=CC=CC3=C2,-107.4107
CC(C)(F)C(=O)N1CCOC[C@@]2(CN(C(=O)C[C@@H]3NC(=O)NC3=O)CCO2)C1,-115.7839
CN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC(=CC2)N3N=CC(Cl)=C(Cl)C3=O,-122.4071
CC1=NN=C(CN2C=C(N=N2)C=3C=CC(=CC3)C(O)C(F)(F)F)O1,-130.9817
C[C@@H](NC=O)C(=O)N1CCO[C@@]2(COCCN(C(=O)CCc3ccc(O)nn3)C2)C1,-133.2913
C/C(=C/C(=O)N1CCO[C@]2(COCCN(C(=O)c3c[nH]c(=O)cn3)C2)C1)C(=O)O,-115.8222
"CC(C)C=1C=C(C(=O)N2CCO[C@H]3COCC[C@H]32)N(C)N1 |&1:12,17,r|",-103.711
N=C(N)NCC(=O)N1CCO[C@]2(COCCN(C(=O)c3ccc([N+](=O)[O-])o3)C2)C1,-113.7489
COC[C@H](NC(C)=O)C(=O)N1C[C@@H]2COC[C@H](C1)[C@@H]2NC(=O)[C@H]1CCNC(=O)C1,-116.4468
CC1CN(CC(F)(F)F)CCN(C1)C(=O)C=2SN=C(O)C2Cl,-91.8713
O=C(NCc1ccnc(-n2cccn2)c1)C(=O)N1CCN(C(=O)Cn2cnnn2)CC1,-148.3844
NS(=O)(=O)c1cccc(N2C[C@@H](C(=O)NCCN3CCNC(=O)C3)CC2=O)c1,-124.7358
CC(=O)N1CCN(C(=O)CCNS(=O)(=O)CCCS(=O)(=O)N(C)C)CC1,-124.9262
CN(C)CCn1ccc(NC(=O)C(=O)N2CCN(S(=O)(=O)N(C)C)CC2)n1,-113.7031
COC(C1=NC(=NO1)C2=CC=3CCCCC3NC2=O)C4CC4,-103.4649
Cn1cc(CCC(=O)N[C@@H]2[C@H]3COC[C@@H]2CN(C(=O)CN2CCNC2=N)C3)cn1,-111.3219
CC(C)CN1C=CN=C1CNC(=O)N2CCC(CC2)N3C=CN=C3,-97.6943
CN1C(=O)CC[C@H]1C(=O)N1C[C@@H]2COC[C@H](C1)[C@@H]2NC(=O)CCN1CCOCC1,-116.3567
CCOC(=O)N[C@@H](O)C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)Cn3ccnn3)C[C@@H]21,-113.8685
CCOC(=O)N[C@@H](O)C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)CCn3cncn3)C[C@@H]21,-115.5938
CC(=O)N/C(C)=C/C(=O)N1CCO[C@@]2(CCN(C(=O)CN3C(=O)C=CC3=O)C2)C1,-115.8445
O=C(Cn1cccn1)N1CCOC[C@]2(C1)CN(C(=O)Cn1ccncc1=O)CCO2,-129.4019
CNS(=O)(=O)N1CCN(C(=O)CNC(=O)c2c[nH]c3ccccc3c2=O)CC1,-111.9394
C[C@H](O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,-112.4985
NC[C@H](N)C(=O)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)[C@@H]1ON=C(c3ccccc3)O1)C2,-114.7335
O=C(O)C=1C=CC(=CC1)CNC(=O)C2CC(=O)N(C2)C=3C=CC=CC3,-132.8144
COc1ccc(NC(=O)C(=O)NC2CC(NS(C)(=O)=O)C2)cc1-n1cnnn1,-144.1895
CC(C)C(NC(=O)NC1CCN(CC1)C2CC2)C3=NC(=NO3)C4CC4,-127.5555
CN1N=C(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)CC[C@@H](N)C(N)=O)[C@H]3C2)CCC1=O,-128.9564
Cn1c(=O)c2c(ncn2CCC(=O)NCCCN2CCC[C@@H](C(N)=O)C2)n(C)c1=O,-128.7141
CCNC(=O)N[C@H](C)C(=O)N1CC[C@]2(CN(C(=O)c3c[nH]c(=O)cn3)CCO2)C1,-126.5816
O=C(N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)CCN1CCOC1=O)C2)c1c[nH]c(=O)cn1,-141.3738
Cn1ccnc1C(=O)N1CCO[C@]2(COCCN(C(=O)CC[C@@H](N)C(N)=O)C2)C1,-119.5165
CC=1NC=NC1C(=O)NC(C2=CNC=3C=CC=C(F)C23)C(F)(F)F,-113.6993
NC(=O)COc1ccc(C(=O)N2CCN(C(=O)C(=O)N3CCOCC3)CC2)cc1,-116.2559
