,SMILES
255,O=C(NC=1C=CC=C(C1)CN2C=CN=C2)C=3C=C(ON3)C4=CC=CO4
256,CC(NC(N)=O)C(=O)N1CCCCCC1C=CC=2C=CC=CC2
257,COC=1C=CN=C(N1)N2CCN(CC2)S(=O)(=O)C=3C=CC(C#N)=CC3
258,COC=1C=CC=C(C1)CNC(=O)C2CC(=O)N(C2)C3CCCC3
259,C=1C=CC=2OC(=NC2C1)NCC=3C=CC=4OCCOC4C3
260,CC(NC(=O)CSC=1C=CC=CC1)C=2C=CC=3OCCOC3C2
261,O=C(CCCOC1=CC=CC(F)=C1)NCC(=O)NC2CC2
262,CCOCC1CCN(C1)C(=O)C=2C(CC)=NC=NC2CC
263,CNS(=O)(=O)C1=CC=C(O1)C(=O)N2CCCN(CC3CCCO3)CC2
264,O=C(NC1CC1)C2=CC3=CC=CC=C3N=C2N4CCCC4
265,O=C(CN1N=NC(=N1)C=2C=CC(F)=CC2)N(CC=3C=CC=CC3)C4CCS(=O)(=O)C4
266,CN1C=C(C=N1)NC(=O)C=2C=NN(C2N3C=CC=C3)C=4C=CC(F)=CC4
267,CSCC=1C=C(F)C=CC1CNC(=O)NC2CCCCC2O
268,C[C@@H]1CC=CC[C@H]1C(=O)N2CCN(CC2)C3(CCCC3)C(N)=O
269,CC(C)C1(CNC(=O)C=2C=NN(C2N)C=3C=CC=CN3)CC1
270,CC(C)NC(=O)C=1C=C(NN1)C=2C=CC(F)=CC2
271,CN1CCC(CC1=O)C(=O)N2CCCC2C=3C=CC(Cl)=CC3
272,COC=1C=C(C=CC1NC(=O)CN2C=NC3=C(C=NN3C)C2=O)[N+]([O-])=O
273,O=C(C=1C=CC=CN1)N2CCN(CC2)C=3C=CC=C(N3)C(F)(F)F
274,O=C(CN1C(=O)CCC1=O)NC2=NC(=CS2)C3=CC(Cl)=CC=C3Cl
275,CCC(C)(CNC(=O)CN1C=CC(=O)NC1=O)N2CCOCC2
276,O=S(=O)(NC=1C=CC=C(Cl)C1)C=2C=CC=C(C2)N3C=NN=N3
277,CC1=C(C(=O)N(C=2C=CC=CC2)N1C)N(C)S(=O)(=O)C=3C=CC(C)=CC3
278,CNC(=O)C1CCN(CC1)S(=O)(=O)C=2C=C(C=CC2C)C(C)(C)C
279,CCCC1=NNC(=N1)C2CN(CCO2)C(=O)CCC3=CC=CN=C3
280,COC=1C=C(C)C(=CC1OC)C(C)NC(=O)C=2C=CC(=O)NN2
281,COC=1C=CC(=CC1F)C(=O)NC2CCN(CC2)C=3N=CC=CN3
282,COC=1C=CC=CC1N2CCC(NC3CCCC4OCCC34)C2=O
283,CCOC=1C=CC(=CC1)C(C)NC(=O)C(C)NC(C)=O
284,CCOC=1C=CC(=CC1)NC(=O)CC=2C(C)=NOC2C
285,COC=1C=CC=CC1C(C)NC(=O)C2CCN(CC2)C(=O)C(C)(C)C
286,O=C(C=1C=CC=2OCOC2C1)N3CCN(CC=4C=CC=C(C4)C(F)(F)F)CC3
287,CC1=CC(C)=CC(=C1)OCC(=O)N2CCN(CC(=O)NC=3C=CC(F)=CC3)CC2
288,CC1=CN2CC(CCC2=N1)NC(=O)CC3OCCC=4C=CSC43
289,CCCN1N=C(C(=O)NC=2C=CC=C(C)N2)C=3C=CC=CC3C1=O
290,O=S(=O)(NC=1C=CC(=CC1)S(=O)(=O)C(F)F)C=2C=C(F)C=CC2F
291,CC(C)NC(=O)C(C)SC=1N=CN=C2C=CC=CC12
292,COC=1C=CC(=CC1)C2=NSC(=N2)NC(=O)CC(C)C
293,O=C(C=1C=CN=C(C1)OC=2C=CC=CC2)N3CCNC(=O)CC3
294,CN1C=C(CNC[C@@H]2CCO[C@H]2C3=CC=NN3C)C(=N1)C(F)(F)F
295,CN(CC=1C=CC=CN1)C(=O)C2=CN(CC=3C=CC=C(F)C3)N=N2
296,CN(C)S(=O)(=O)C=1C=CC=2CCN(C(=O)C=3C=CC=CC3NCC=4C=CC=CC4)C2C1
297,COC1=C(C(C)=NN1C)C2CCCN2C(=O)C3=CC=CN3C
