,SMILES
240,CC=1NC=CC1C(=O)NC(C2=NC=CS2)C=3C=CC=CC3
241,CC=1C=CC(=CC1)C(=O)NC(CC(=O)NCC2=CC(=NO2)C(N)=O)C=3C=CC=CC3
242,CC1C=2C=CC=CC2CCN1C(=O)NCC=3N=CC=CC3S(C)(=O)=O
243,COCC=1C=C(N=CN1)NC(=O)N2CCC(CC=3C=CC=CC3)C2
244,CNC(=O)C=1C=C(C)C=CC1NC(=O)C=2N=CC=CC2O
245,CC1=CN(N=C1NC(=O)C=2C=CC(=NC2)NC(C)C)C3CCCCC3
246,O=C(C=1C=CC=2NC(=O)CCCC2C1)N(CC=3C=CC(F)=CC3)C4CCOCC4
247,CC=1C=C(N=C(N1)C(F)(F)F)C(=O)NC2=CC=C(OCCO)C(C)=C2
248,CN1C=C(C=N1)C2=CNC=C2C(=O)NC3CCCOCC3
249,NC(=O)CN1CCCN(CC1)C=2C=CC(=C(C2)C(F)(F)F)S(N)(=O)=O
250,CC=1C=C(N=C(N1)N2CCC(CC2)C=3C=CN=CC3)C(F)(F)F
251,CN(CCCNC(=O)C1CCC1)C(=O)NC=2C=CC=NC2N3C=CC=N3
252,CC(NC(=O)NC1CC(=O)N(C1)C2CC2)C3=CC=CC4=CC=CC=C34
253,CCC1(CO)CCCN(C1)C(=O)NC2=CC=C3CCN(C)C3=C2
254,CCCC1=C(C=NN1C=2C=CC=CC2C)C(=O)N(C)CC3=NN=C4C=CC=CN34
255,CC=1C=CC=C(C1)COC2=CC=C(NC(=O)CC3CCCN3)C(C)=C2
256,CC(O)(CN1C(=O)C(C)(C)C=2C=CC=CC21)C(=O)NOC3CCOC3
257,O=C(NC=1C=CC(=CC1)OC=2C=CC=C(C2)C(F)(F)F)C3CCNC3
258,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)CN(C)CCC(=O)O
259,CNCCCC(=O)NC=1C=CC(=NC1)OC=2C=CC=C(Br)C2
260,CO[C@H]1C[C@H](C2=NN=C(C)O2)N(C1)C(=O)CC3=CNC=4C=CC(Cl)=CC34
