num_molecules,num_reactions,num_unique_building_blocks,last_reaction_id,num_building_blocks_last_rxn,MolWt,MolLogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,FractionCSP3,HeavyAtomCount,Property Score
1,0,1,-1,-1,242.032,1.19,1,4,67.49,1,0.0,13,-106.45452117919922
1,0,1,-1,-1,151.165,1.177,2,3,63.32000000000001,1,0.125,11,-94.58448028564452
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-97.77552032470703
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-100.71913146972656
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-108.86725234985352
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-109.17573547363281
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-101.1111068725586
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-103.41889190673828
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-110.1587142944336
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-109.70876693725586
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-110.49644088745117
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-104.39970016479492
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-111.80773162841797
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-99.27731704711914
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-98.59041595458984
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-107.23091888427734
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-105.14295959472656
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-107.85997009277344
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-104.84399032592773
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-109.94022369384766
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-104.47637939453125
2,0,2,-1,-1,190.16200000000003,0.5649,2,4,91.76,2,0.0,14,-112.9002571105957
1,1,2,22,2,361.3690000000001,1.093599999999999,3,7,138.01999999999998,6,0.11764705882352941,27,-143.69468688964844
